id,sex,age,race,beachattend,Seals,Dolphins,Sharks,Lifsavers,NSRI,SSpotters,beach,sharkbite,SealPride2,SharkPride2,SharkSpot2,Lifesavers2,NSRI2,Dolphin2
1,1,26,1,3,10,10,10,5,6,5,1,1,3,3,2,2,3,3
2,2,25,1,1,10,10,10,#NULL!,#NULL!,7,1,1,3,3,3,#NULL!,#NULL!,3
3,1,40,2,3,6,6,6,4,#NULL!,5,1,1,3,3,2,2,#NULL!,3
4,1,60,1,3,10,10,10,7,10,7,1,1,3,3,3,3,3,3
5,2,23,2,1,10,10,10,7,10,7,1,1,3,3,3,3,3,3
6,1,61,1,1,10,10,10,9,10,9,1,1,3,3,3,3,3,3
7,2,61,1,1,10,10,10,9,10,9,1,1,3,3,3,3,3,3
8,1,22,2,3,8,4,3,5,3,10,1,1,3,1,3,2,1,2
9,1,21,2,1,6,8,2,1,3,3,1,1,3,1,1,1,1,3
11,2,30,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,2,45,2,3,10,10,7,8,7,7,1,1,3,3,3,3,3,3
13,2,24,1,3,10,10,10,8,8,10,1,1,3,3,3,3,3,3
14,1,28,3,3,8,8,8,5,6,5,1,1,3,3,2,2,3,3
15,2,33,1,1,10,10,10,6,10,10,1,1,3,3,3,3,3,3
16,2,22,1,3,7,8,8,10,10,10,2,1,3,3,3,3,3,3
17,1,50,1,3,10,10,10,8,7,6,1,1,3,3,3,3,3,3
18,1,35,1,1,10,10,10,9,#NULL!,7,1,1,3,3,3,3,#NULL!,3
19,1,30,2,2,10,10,2,10,10,10,1,1,3,1,3,3,3,3
20,1,28,2,1,7,10,1,5,1,8,1,1,3,1,3,2,1,3
21,2,48,1,1,9,9,9,8,10,10,1,1,3,3,3,3,3,3
22,1,26,2,3,8,10,1,10,10,10,1,1,3,1,3,3,3,3
23,1,27,2,2,7,8,5,9,7,5,1,1,3,2,2,3,3,3
24,2,50,1,2,10,10,10,8,9,9,1,1,3,3,3,3,3,3
25,1,55,1,3,9,9,9,8,8,7,1,1,3,3,3,3,3,3
26,1,25,1,1,9,10,5,5,8,7,1,1,3,2,3,2,3,3
27,2,30,3,3,6,5,1,6,10,7,2,1,3,1,3,3,3,2
28,2,25,2,1,9,3,2,7,10,4,2,1,3,1,2,3,3,1
29,1,38,2,2,6,6,8,10,10,6,2,1,3,3,3,3,3,3
30,2,20,3,3,9,9,1,9,9,9,2,1,3,1,3,3,3,3
