Capital		Rental
61500		6656
67500		6864
75000		4992
75000		7280
76000		6656
77000		4576
80000		4992
81000		6656
81000		4784
85000		7072
90000		6240
90000		6240
90000		4576
94000		8736
94000		5200
95000		7904
102000		9568
104000		7904
106000		6656
110000		7072
115000		5824
115000		7904
120000		11440
121000		12064
124000		8528
125000		7904
125000		8500
126000		6240
127000		8944
130000		9776
130000		7696
135000		8320
135000		7280
135000		7488
135000		8736
140000		9152
140000		9360
140000		9568
140000		10816
145000		8320
145000		11232
148000		8320
151000		7904
155000		7488
163000		11024
165000		8528
165000		9152
165000		13312
170000		8500
170000		12688
170000		8736
170000		9568
170000		11232
174000		10400
175000		9152
178000		11856
189000		12272
190000		8320
191000		12064
194000		11232
195000		11024
200000		10608
200000		10000
200000		12272
200000		9360
200000		8320
200000		13312
200000		10400
200000		12480
208000		10400
210000		11232
214000		8528
225000		10400
225000		12480
231000		12896
240000		11648
240000		11648
240000		12064
240000		11024
240000		10192
241000		9152
244500		11232
250000		12500
262000		10192
270000		12480
270000		12896
275000		13312
289000		11648
295000		11232
300000		12480
300000		12896
303000		12272
304000		12272
310000		12480
315000		12896
325000		12480
