"Game" "Time"
"A" 39.2
"A"  2.7
"A"  9.2
"A" 14.6
"A"  1.9
"A" 17.8
"A" 15.5
"A" 53.8
"A" 17.5
"A" 27.5
"A"  4.8
"A"  8.6
"A" 22.1
"A" 29.8
"A" 10.4
"A"  9.8
"A" 27.7
"A" 32.7
"A" 32.0
"A" 34.3
"A" 29.1
"A"  6.5
"A"  2.8
"A" 10.8
"A"  9.2
"A" 12.9
"A"  7.1
"A" 23.8
"A"  7.6
"A" 36.4
"A" 35.6
"A" 28.4
"A" 37.2
"A" 16.8
"A" 21.2
"A" 14.7
"A" 44.5
"A" 24.7
"A" 36.2
"A" 20.9
"A" 19.9
"A" 24.4
"A"  7.9
"A"  2.8
"A"  2.7
"A"  3.9
"A" 14.1
"A" 28.4
"A" 45.5
"A" 38.0
"A" 18.5
"A"  8.3
"A" 56.2
"A" 10.2
"A"  5.5
"A"  2.5
"A" 46.8
"A" 23.1
"A"  9.2
"A" 10.3
"A" 10.2
"A" 22.0
"A" 28.5
"A" 24.0
"A" 17.3
"A" 12.7
"A" 15.5
"A"  4.0
"A"  5.6
"A"  3.8
"A" 21.6
"A" 49.3
"A" 52.4
"A" 50.1
"A" 30.5
"A" 37.2
"A" 15.0
"A" 38.7
"A"  3.1
"A" 11.0
"A" 10.0
"A"  5.0
"A" 48.8
"A"  3.6
"A" 12.6
"A"  9.9
"A" 58.6
"A" 37.9
"A" 19.4
"A" 29.2
"A" 12.3
"A" 39.2
"A" 22.2
"A" 39.7
"A"  6.4
"A"  2.5
"A" 34.0
"B"  7.4
"B"  4.6
"B" 75.1
"B"  8.3
"B"  7.2
"B"  5.9
"B"  3.1
"B"  2.9
"B" 20.7
"B" 13.9
"B"  6.1
"B" 18.6
"B" 33.1
"B" 15.0
"B" 26.7
"B"  4.3
"B" 53.9
"B" 22.9
"B"  4.9
"B" 11.2
"B" 18.9
"B"  2.8
"B"  7.0
"B" 29.2
"B" 19.2
"B" 17.1
"B" 29.5
"B"  7.5
"B" 18.8
"B" 49.5
"B" 27.5
"B" 16.3
"B"  5.1
"B"  2.7
"B" 56.9
"B"  4.7
"B" 13.4
"B"  9.8
"B" 12.4
"B" 14.6
"B" 51.5
"B"  9.2
"B" 57.1
"B" 13.7
"B" 11.8
"B" 26.0
"B" 34.6
"B"  5.1
"B" 18.1
"B"  6.2
"B" 32.5
"B" 23.6
"B" 33.6
"B"  4.0
"B" 43.9
"B"  9.7
"B"  9.1
"B" 16.8
"B" 39.4
"B" 20.2
"B" 29.9
"B" 10.3
"B" 33.8
"B" 16.8
"B" 21.8
"B" 28.2
"B"  6.5
"B"  3.2
"B"  7.2
"B"  2.1
"B" 18.8
"B"  5.4
"B" 24.9
"B"  8.3
"B" 27.3
"B" 11.9
"B"  8.8
"B" 51.4
"B" 27.6
"B" 67.1
"B" 18.1
"B" 20.5
"B" 16.8
"B" 17.3
"B" 42.4
"B" 29.9
"B" 12.5
"B"  3.0
"B" 10.9
"B" 11.8
"B" 41.7
"B" 27.9
"B" 33.7
"B" 18.0
"B" 23.2
"B" 17.3
"B"  1.4
"B" 17.4
"B"  8.3
"B" 10.6
"B"  2.3
"B" 58.8
"B" 20.1
"B"  7.0
"B" 28.1
"B" 30.8
"B" 16.9
"C"  7.0
"C" 13.5
"C"  2.7
"C"  3.6
"C" 27.5
"C"  1.9
"C"  6.9
"C"  2.2
"C"  5.2
"C"  5.6
"C"  2.9
"C" 18.0
"C" 12.6
"C"  9.0
"C" 34.3
"C" 10.4
"C" 22.4
"C"  3.3
"C" 10.4
"C" 43.2
"C" 34.5
"C"  1.5
"C" 27.0
"C"  7.9
"C"  8.3
"C" 16.7
"C"  1.3
"C" 26.9
"C" 28.0
"C"  7.9
"C" 36.0
"C" 15.3
"C"  4.8
"C" 21.6
"C" 15.4
"C" 18.0
"C" 15.9
"C" 16.5
"C" 15.1
"C" 45.7
"C"  3.3
"C"  9.6
"C" 24.5
"C"  3.2
"C"  9.6
"C"  5.3
"C"  4.1
"C" 10.6
"C" 19.2
"C" 17.8
"C" 15.5
"C"  3.4
"C"  2.7
"C" 15.3
"C"  3.2
"C" 27.0
"C" 11.7
"C" 11.2
"C" 14.5
"C" 28.8
"C" 24.2
"C"  9.5
"C" 21.7
"C" 16.9
"C" 13.5
"C"  2.5
"C" 19.8
"C" 45.9
"C"  8.6
"C" 66.1
"C" 16.8
"C"  6.3
"C" 13.1
"C"  8.9
"C" 15.3
"C" 29.4
"C"  2.9
"C" 16.7
"C"  2.4
"C" 31.1
"C" 15.7
"C" 21.5
"C"  3.5
"C" 23.5
"C" 21.0
"C" 35.9
"C" 22.6
"C" 13.6
"C"  4.8
"C"  8.1
"C" 12.9
"C" 12.4
"C"  6.5
"D"  5.3
"D" 25.5
"D"  2.6
"D" 13.9
"D" 28.7
"D" 29.1
"D" 83.6
"D" 10.2
"D" 14.6
"D" 40.1
"D" 11.2
"D" 33.8
"D" 43.6
"D" 15.4
"D" 20.8
"D"  6.9
"D" 21.4
"D" 10.1
"D" 38.6
"D"  8.9
"D" 21.9
"D" 21.2
"D" 14.3
"D" 20.9
"D"  8.7
"D"  6.2
"D"  8.1
"D"  4.6
"D" 22.6
"D" 27.0
"D" 10.7
"D" 40.1
"D" 44.2
"D"  7.1
"D" 28.2
"D" 24.6
"D" 23.8
"D"  3.6
"D" 33.4
"D" 24.0
"D" 27.6
"D" 13.4
"D" 14.2
"D" 42.0
"D" 39.8
"D" 21.8
"D"  8.7
"D" 41.7
"D"  8.3
"D" 49.3
"D" 11.3
"D" 19.5
"D" 12.6
"D" 12.2
"D" 36.3
"D"  8.8
"D"  5.9
"D"  9.0
"D"  9.2
"D" 10.9
"D" 41.4
"D" 34.9
"D" 10.6
"D" 37.0
"D" 66.4
"D"  7.7
"D" 26.4
"D" 17.2
"D" 16.1
"D" 75.5
"D"  5.3
"D"  6.3
"D" 21.4
"D" 27.6
"D" 18.2
"D" 33.2
"D" 31.5
"D" 39.2
"D" 20.8
"D"  7.3
"D"  4.9
"D" 10.6
"D" 11.5
"D" 17.0
"D"  3.0
"D" 28.5
"D"  3.9
"D" 14.9
"D"  8.9
"E"  3.6
"E" 29.2
"E"  7.9
"E" 37.3
"E" 34.2
"E" 37.8
"E" 34.7
"E"  7.0
"E" 14.5
"E" 46.9
"E" 62.7
"E" 18.9
"E" 19.1
"E" 33.1
"E" 37.2
"E" 28.2
"E" 18.5
"E"  6.3
"E" 14.4
"E"  2.5
"E" 24.0
"E"  4.3
"E"  3.2
"E" 13.2
"E" 37.6
"E"  6.1
"E" 51.3
"E" 27.4
"E" 17.9
"E" 25.8
"E"  4.3
"E" 10.6
"E"  5.7
"E" 11.1
"E" 23.5
"E"  9.7
"E" 28.9
"E" 33.9
"E"  5.1
"E"  3.5
"E"  9.1
"E"  6.5
"E" 43.2
"E" 25.9
"E"  7.8
"E" 91.1
"E"  5.0
"E"  6.9
"E" 22.6
"E" 10.7
"E"  7.0
"E" 28.6
"E"  8.1
"E" 22.8
"E" 21.9
"E" 17.1
"E" 10.2
"E" 63.3
"E" 20.1
"E"  2.7
"E" 13.2
"E" 27.1
"E" 17.1
"E"  3.5
"E" 17.4
"E" 55.8
"E" 12.9
"E" 35.8
"E" 10.0
"E" 45.8
"E" 24.5
"E"  5.0
"E" 18.1
"E" 21.9
"E"  7.2
"E" 12.4
"E"  8.2
"E" 14.3
"E" 11.5
"E" 29.2
"E" 19.7
"E" 35.8
"E" 14.6
"E" 13.3
"E" 27.8
"E" 43.1
"E" 46.6
"E" 33.5
"E" 26.2
"E" 35.8
"E"  5.0
"F" 30.3
"F" 14.8
"F" 15.2
"F" 12.2
"F" 19.2
"F"  2.1
"F" 42.6
"F" 12.7
"F"  9.1
"F" 35.1
"F" 14.2
"F" 41.8
"F" 10.3
"F" 12.4
"F"  9.5
"F" 40.8
"F"  2.7
"F"  3.6
"F" 10.7
"F" 45.1
"F" 12.4
"F"  8.4
"F" 14.0
"F"  2.9
"F" 20.7
"F" 26.5
"F" 13.3
"F"  2.8
"F" 50.6
"F" 15.7
"F"  5.8
"F"  2.7
"F"  8.2
"F" 11.7
"F"  3.4
"F" 10.9
"F"  3.6
"F"  2.6
"F" 14.9
"F"  6.2
"F" 13.5
"F" 29.8
"F" 13.8
"F"  3.4
"F" 26.6
"F"  3.7
"F" 23.6
"F" 60.2
"F" 13.8
"F" 13.1
"F" 10.3
"F"  3.7
"F" 36.0
"F" 18.8
"F" 35.1
"F" 51.6
"F" 33.4
"F" 13.8
"F"  6.3
"F" 11.7
"F"  8.6
"F"  9.7
"F" 29.7
"F" 16.3
"F"  2.6
"F" 15.4
"F" 11.3
"F" 11.7
"F" 29.4
"F"  4.9
"F" 37.2
"F"  6.2
"F" 65.1
"F"  3.8
"F"  2.2
"F" 23.9
"F"  5.1
"F" 16.6
"F" 10.9
"F" 12.2
"F" 11.4
"F"  3.1
"F" 22.6
"F"  9.6
"F"  2.8
"F" 15.6
"F" 49.2
"F" 10.0
"F" 36.1
"F" 10.6
"F"  2.8
"F" 18.3
"F" 15.1
"F" 19.8
"F"  3.0
"F" 10.3
"F" 16.2
"F" 11.6
"F" 33.7
"F" 35.2
"G" 11.9
"G"  6.0
"G"  4.6
"G"  4.6
"G" 14.5
"G" 28.4
"G" 22.4
"G"  1.4
"G" 64.1
"G" 12.2
"G"  4.1
"G"  2.2
"G"  4.8
"G" 15.6
"G" 21.6
"G" 17.0
"G"  2.3
"G" 30.2
"G" 77.2
"G" 18.2
"G" 18.4
"G"  5.8
"G" 26.1
"G" 34.1
"G" 16.8
"G"  7.8
"G" 20.2
"G" 15.9
"G"  2.1
"G" 10.2
"G" 13.1
"G" 34.5
"G" 17.4
"G" 30.4
"G"  3.3
"G" 32.0
"G"  4.7
"G" 10.2
"G" 15.9
"G" 23.5
"G"  9.3
"G" 44.7
"G"  7.0
"G" 20.4
"G" 65.0
"G" 46.4
"G" 27.3
"G"  6.6
"G" 41.4
"G" 11.9
"G" 24.6
"G" 36.3
"G" 13.9
"G" 10.8
"G" 10.2
"G" 11.9
"G" 17.2
"G" 38.5
"G" 17.7
"G"  6.5
"G" 15.3
"G" 36.9
"G" 26.7
"G"  5.1
"G" 10.0
"G"  8.2
"G"  7.4
"G" 14.2
"G" 45.5
"G" 22.7
"G"  4.1
"G" 27.0
"G" 20.3
"G"  4.8
"G" 18.5
"G" 77.7
"G" 20.7
"G" 23.9
"G" 17.0
"G" 14.5
"G" 12.5
"G" 13.3
"G" 22.1
"H"  7.0
"H" 13.5
"H"  2.7
"H"  3.6
"H" 27.5
"H"  1.9
"H"  6.9
"H"  2.2
"H"  5.2
"H"  5.6
"H"  2.9
"H" 18.0
"H" 12.6
"H"  9.0
"H" 34.3
"H" 10.4
"H" 22.4
"H"  3.3
"H" 10.4
"H" 43.2
"H" 34.5
"H"  1.5
"H" 27.0
"H"  7.9
"H"  8.3
"H" 16.7
"H"  1.3
"H" 26.9
"H" 28.0
"H"  7.9
"H" 36.0
"H" 15.3
"H"  4.8
"H" 21.6
"H" 15.4
"H" 18.0
"H" 15.9
"H" 16.5
"H" 15.1
"H" 45.7
"H"  3.3
"H"  9.6
"H" 24.5
"H"  3.2
"H"  9.6
"H"  5.3
"H"  4.1
"H" 10.6
"H" 19.2
"H" 17.8
"H" 15.5
"H"  3.4
"H"  2.7
"H" 15.3
"H"  3.2
"H" 27.0
"H" 11.7
"H" 11.2
"H" 14.5
"H" 28.8
"H" 24.2
"H"  9.5
"H" 21.7
"H" 16.9
"H" 13.5
"H"  2.5
"H" 19.8
"H" 45.9
"H"  8.6
"H" 66.1
"H" 16.8
"H"  6.3
"H" 13.1
"H"  8.9
"H" 15.3
"H" 29.4
"H"  2.9
"H" 16.7
"H"  2.4
"H" 31.1
"H" 15.7
"H" 21.5
"H"  3.5
"H" 23.5
"H" 21.0
"H" 35.9
"H" 22.6
"H" 13.6
"H"  4.8
"H"  8.1
"H" 12.9
"H" 12.4
"H"  6.5
"H" 18.0
"H" 23.2
"H" 17.3
"H"  1.4
"H" 17.4
"H"  8.3
"H" 10.6
"H"  2.3
"H" 58.8
"H" 20.1
"H"  7.0
"H" 28.1
"H" 30.8
"H" 16.9
"H" 31.0
"I" 24.6
"I" 27.8
"I"  3.5
"I" 13.3
"I" 14.4
"I" 15.2
"I" 37.3
"I"  3.8
"I"  5.1
"I"  8.4
"I"  2.9
"I" 24.8
"I" 11.3
"I" 10.2
"I"  3.3
"I" 15.4
"I"  5.1
"I" 39.4
"I" 13.1
"I" 26.3
"I" 12.7
"I"  6.6
"I" 17.7
"I" 10.2
"I"  7.4
"I"  5.6
"I"  3.6
"I" 44.5
"I" 23.7
"I"  8.3
"I"  3.8
"I"  4.4
"I"  1.5
"I"  6.0
"I" 15.2
"I" 14.6
"I"  5.0
"I" 15.2
"I" 14.6
"I"  5.0
"I" 15.2
"I" 15.2
"I" 18.3
"I"  5.0
"I" 12.9
"I" 20.7
"I"  2.4
"I"  7.9
"I" 20.0
"I"  5.2
"I" 16.1
