Month,Dayweek,Time,State,Hour
January,Wednesday,14:45:00,NSW,14
April,Sunday,13:00:00,NSW,13
March,Saturday,07:05:00,VIC,7
January,Monday,18:25:00,VIC,18
May,Wednesday,12:27:00,VIC,12
October,Sunday,11:00:00,QLD,11
March,Friday,22:30:00,VIC,22
August,Saturday,10:50:00,NT,10
February,Saturday,02:30:00,WA,2
June,Thursday,18:30:00,TAS,18
July,Friday,21:54:00,WA,21
December,Saturday,13:00:00,QLD,13
September,Friday,23:00:00,QLD,23
October,Sunday,02:00:00,NSW,2
February,Tuesday,16:00:00,VIC,16
September,Friday,10:45:00,WA,10
July,Thursday,22:15:00,NSW,22
November,Friday,16:00:00,VIC,16
February,Sunday,01:45:00,WA,1
September,Monday,19:10:00,ACT,19
May,Wednesday,22:50:00,SA,22
April,Friday,20:40:00,VIC,20
September,Friday,00:45:00,VIC,0
November,Saturday,22:18:00,WA,22
November,Thursday,17:35:00,VIC,17
December,Thursday,08:00:00,WA,8
October,Sunday,00:15:00,VIC,0
March,Wednesday,22:30:00,SA,22
September,Monday,09:00:00,NSW,9
June,Monday,18:20:00,SA,18
March,Wednesday,19:03:00,NT,19
October,Friday,14:45:00,WA,14
May,Wednesday,21:40:00,WA,21
August,Friday,15:30:00,WA,15
November,Friday,19:15:00,NSW,19
August,Sunday,04:00:00,VIC,4
January,Wednesday,13:53:00,WA,13
June,Sunday,18:20:00,SA,18
December,Monday,16:10:00,VIC,16
October,Sunday,12:45:00,VIC,12
June,Thursday,17:00:00,QLD,17
March,Tuesday,18:29:00,NT,18
July,Tuesday,12:15:00,NSW,12
October,Friday,22:50:00,WA,22
December,Thursday,14:55:00,VIC,14
January,Thursday,06:55:00,VIC,6
August,Saturday,15:45:00,NT,15
December,Saturday,05:45:00,NSW,5
May,Tuesday,04:00:00,QLD,4
October,Monday,05:00:00,NSW,5
March,Thursday,18:50:00,NSW,18
December,Saturday,16:40:00,SA,16
December,Thursday,17:45:00,VIC,17
January,Friday,07:00:00,QLD,7
December,Thursday,05:50:00,NSW,5
October,Thursday,23:20:00,NSW,23
November,Sunday,18:20:00,VIC,18
September,Saturday,11:35:00,NSW,11
May,Sunday,02:50:00,NSW,2
February,Tuesday,10:50:00,VIC,10
July,Friday,18:00:00,NSW,18
April,Saturday,15:00:00,QLD,15
January,Saturday,12:40:00,VIC,12
August,Sunday,22:00:00,WA,22
August,Tuesday,23:30:00,VIC,23
September,Saturday,03:20:00,SA,3
May,Monday,23:30:00,NSW,23
December,Sunday,08:50:00,NSW,8
January,Monday,13:15:00,NSW,13
January,Saturday,16:00:00,QLD,16
October,Thursday,20:00:00,QLD,20
March,Monday,22:10:00,VIC,22
January,Wednesday,19:00:00,QLD,19
November,Sunday,17:00:00,WA,17
March,Tuesday,05:30:00,NSW,5
May,Sunday,22:20:00,NSW,22
January,Monday,13:00:00,NSW,13
September,Saturday,15:15:00,WA,15
September,Friday,04:00:00,QLD,4
January,Friday,17:20:00,NSW,17
November,Sunday,00:10:00,NSW,0
March,Friday,07:00:00,QLD,7
April,Friday,10:40:00,VIC,10
March,Sunday,11:00:00,QLD,11
January,Tuesday,10:10:00,NSW,10
February,Tuesday,08:00:00,QLD,8
April,Wednesday,13:00:00,SA,13
October,Saturday,17:00:00,QLD,17
April,Wednesday,18:45:00,VIC,18
December,Tuesday,14:40:00,VIC,14
October,Sunday,01:15:00,NSW,1
September,Tuesday,11:55:00,NSW,11
October,Saturday,05:35:00,NSW,5
March,Sunday,14:00:00,QLD,14
February,Sunday,23:20:00,NSW,23
March,Tuesday,13:40:00,NSW,13
July,Monday,14:00:00,NSW,14
January,Thursday,11:46:00,SA,11
June,Saturday,02:35:00,NSW,2
November,Sunday,13:00:00,QLD,13
January,Friday,01:25:00,NSW,1
November,Sunday,23:58:00,WA,23
July,Saturday,17:15:00,VIC,17
May,Thursday,16:00:00,QLD,16
May,Tuesday,06:30:00,VIC,6
May,Friday,22:05:00,VIC,22
July,Tuesday,14:15:00,WA,14
October,Wednesday,17:30:00,VIC,17
June,Sunday,18:00:00,QLD,18
August,Saturday,23:00:00,QLD,23
February,Saturday,05:00:00,VIC,5
August,Monday,14:30:00,WA,14
July,Wednesday,17:35:00,VIC,17
June,Monday,21:00:00,QLD,21
May,Sunday,07:30:00,TAS,7
October,Saturday,18:55:00,SA,18
November,Monday,16:30:00,NSW,16
December,Friday,10:00:00,QLD,10
May,Saturday,18:30:00,SA,18
May,Monday,19:00:00,WA,19
October,Thursday,07:20:00,NSW,7
June,Sunday,03:00:00,QLD,3
June,Tuesday,16:20:00,NSW,16
August,Tuesday,12:00:00,QLD,12
July,Saturday,19:00:00,QLD,19
April,Saturday,06:30:00,SA,6
April,Sunday,11:45:00,SA,11
October,Wednesday,19:35:00,NSW,19
April,Tuesday,14:25:00,NSW,14
October,Sunday,17:00:00,NSW,17
March,Saturday,03:00:00,QLD,3
February,Sunday,16:30:00,NSW,16
December,Saturday,20:00:00,ACT,20
February,Friday,13:15:00,VIC,13
October,Wednesday,20:00:00,QLD,20
March,Saturday,07:00:00,QLD,7
August,Tuesday,14:45:00,NSW,14
November,Tuesday,14:00:00,QLD,14
December,Thursday,11:35:00,NSW,11
October,Friday,07:10:00,SA,7
January,Sunday,16:00:00,QLD,16
June,Sunday,12:20:00,WA,12
September,Sunday,02:00:00,QLD,2
November,Thursday,15:37:00,VIC,15
August,Sunday,13:00:00,QLD,13
August,Sunday,00:01:00,NSW,0
March,Wednesday,07:55:00,VIC,7
January,Saturday,12:45:00,VIC,12
November,Friday,02:19:00,VIC,2
April,Wednesday,07:43:00,VIC,7
August,Friday,06:00:00,QLD,6
November,Saturday,08:00:00,VIC,8
June,Sunday,12:00:00,NSW,12
February,Saturday,10:25:00,SA,10
December,Monday,14:55:00,NSW,14
January,Tuesday,14:30:00,TAS,14
March,Tuesday,14:58:00,WA,14
November,Friday,15:00:00,QLD,15
January,Saturday,06:30:00,NSW,6
October,Friday,05:30:00,NSW,5
October,Friday,04:00:00,NSW,4
December,Friday,10:15:00,VIC,10
August,Friday,06:40:00,NSW,6
September,Sunday,14:40:00,WA,14
June,Wednesday,14:15:00,VIC,14
March,Tuesday,04:30:00,NSW,4
August,Saturday,23:00:00,QLD,23
April,Saturday,23:00:00,SA,23
January,Monday,18:30:00,VIC,18
July,Saturday,16:47:00,VIC,16
October,Saturday,18:25:00,VIC,18
May,Tuesday,20:15:00,VIC,20
February,Wednesday,15:45:00,SA,15
March,Friday,18:00:00,TAS,18
April,Saturday,19:30:00,NT,19
December,Saturday,19:49:00,WA,19
April,Friday,13:25:00,VIC,13
April,Thursday,04:00:00,QLD,4
November,Thursday,11:00:00,QLD,11
December,Friday,15:00:00,QLD,15
May,Saturday,06:30:00,VIC,6
October,Monday,10:20:00,SA,10
September,Thursday,19:00:00,QLD,19
March,Monday,15:18:00,NSW,15
May,Sunday,08:15:00,WA,8
November,Tuesday,23:10:00,NSW,23
October,Tuesday,18:30:00,ACT,18
November,Saturday,21:30:00,SA,21
