sort_order,wmo,full_name,history_product,local_date_time,local_date_time_full,aifstime_utc,lat,lon,apparent_t,cloud,cloud_base_m,cloud_oktas,cloud_type,cloud_type_id,delta_t,gust_kmh,gust_kt,air_temp,dewpt,press,press_msl,press_qnh,press_tend,rain_trace,rel_hum,sea_state,swell_dir_worded,swell_height,swell_period,vis_km,weather,wind_dir,wind_spd_kmh,wind_spd_kt
0,94768,Sydney - Observatory Hill,IDN60801,27/11:30am,2018-07-27T01:30:00Z,2018-07-27T01:30:00Z,-33.8607,151.205,11.3,-,NA,NA,-,NA,5.6,NA,NA,15.6,3.4,1016.8,1016.8,1016.7,-,0,44,-,-,NA,NA,-,-,WNW,15,8
1,94768,Sydney - Observatory Hill,IDN60801,27/11:00am,2018-07-27T01:00:00Z,2018-07-27T01:00:00Z,-33.8607,151.205,9.6,-,NA,NA,-,NA,4.7,NA,NA,14.2,3.9,1017.2,1017.2,1017.1,-,0,50,-,-,NA,NA,-,-,W,17,9
2,94768,Sydney - Observatory Hill,IDN60801,27/10:30am,2018-07-27T00:30:00Z,2018-07-27T00:30:00Z,-33.8607,151.205,7.8,-,NA,NA,-,NA,4,NA,NA,12.9,4.1,1017.7,1017.7,1017.6,-,0,55,-,-,NA,NA,-,-,WNW,20,11
3,94768,Sydney - Observatory Hill,IDN60801,27/10:00am,2018-07-27T00:00:00Z,2018-07-27T00:00:00Z,-33.8607,151.205,6.7,-,NA,NA,-,NA,3.5,NA,NA,11.8,4.1,1017.9,1017.9,1017.8,-,0,59,-,-,NA,NA,-,-,WNW,20,11
4,94768,Sydney - Observatory Hill,IDN60801,27/09:30am,2018-07-26T23:30:00Z,2018-07-26T23:30:00Z,-33.8607,151.205,5.3,-,NA,NA,-,NA,3,NA,NA,10.8,4,1018.1,1018.1,1018,-,0,63,-,-,NA,NA,-,-,WNW,22,12
5,94768,Sydney - Observatory Hill,IDN60801,27/09:00am,2018-07-26T23:00:00Z,2018-07-26T23:00:00Z,-33.8607,151.205,5,-,NA,NA,-,NA,2.6,NA,NA,9.9,4.1,1018.1,1018.1,1018,-,0,67,-,-,NA,NA,-,-,W,19,10
6,94768,Sydney - Observatory Hill,IDN60801,27/08:30am,2018-07-26T22:30:00Z,2018-07-26T22:30:00Z,-33.8607,151.205,4.2,-,NA,NA,-,NA,2.4,NA,NA,9.3,3.9,1018,1018,1017.9,-,0,69,-,-,NA,NA,-,-,W,20,11
7,94768,Sydney - Observatory Hill,IDN60801,27/08:00am,2018-07-26T22:00:00Z,2018-07-26T22:00:00Z,-33.8607,151.205,2.9,-,NA,NA,-,NA,1.8,NA,NA,8.4,4.2,1017.9,1017.9,1017.8,-,0,75,-,-,NA,NA,-,-,W,22,12
8,94768,Sydney - Observatory Hill,IDN60801,27/07:30am,2018-07-26T21:30:00Z,2018-07-26T21:30:00Z,-33.8607,151.205,2,-,NA,NA,-,NA,1.2,NA,NA,7.7,5,1017.8,1017.8,1017.7,-,0,83,-,-,NA,NA,-,-,W,24,13
9,94768,Sydney - Observatory Hill,IDN60801,27/07:00am,2018-07-26T21:00:00Z,2018-07-26T21:00:00Z,-33.8607,151.205,1.6,-,NA,NA,-,NA,1.2,NA,NA,7.1,4.2,1017.8,1017.8,1017.7,-,0,82,-,-,NA,NA,-,-,W,22,12
10,94768,Sydney - Observatory Hill,IDN60801,27/06:30am,2018-07-26T20:30:00Z,2018-07-26T20:30:00Z,-33.8607,151.205,1.6,-,NA,NA,-,NA,1.3,NA,NA,7.4,4.5,1017.7,1017.7,1017.6,-,0,82,-,-,NA,NA,-,-,W,24,13
11,94768,Sydney - Observatory Hill,IDN60801,27/06:00am,2018-07-26T20:00:00Z,2018-07-26T20:00:00Z,-33.8607,151.205,2.7,-,NA,NA,-,NA,1.3,NA,NA,7.5,4.5,1017.4,1017.4,1017.3,-,0,81,-,-,NA,NA,-,-,W,19,10
12,94768,Sydney - Observatory Hill,IDN60801,27/05:30am,2018-07-26T19:30:00Z,2018-07-26T19:30:00Z,-33.8607,151.205,3,-,NA,NA,-,NA,1.4,NA,NA,7.5,4.3,1017.1,1017.1,1017,-,0,80,-,-,NA,NA,-,-,W,17,9
13,94768,Sydney - Observatory Hill,IDN60801,27/05:00am,2018-07-26T19:00:00Z,2018-07-26T19:00:00Z,-33.8607,151.205,3.3,-,NA,NA,-,NA,1.6,NA,NA,8.1,4.5,1017.1,1017.1,1017,-,0,78,-,-,NA,NA,-,-,W,19,10
14,94768,Sydney - Observatory Hill,IDN60801,27/04:30am,2018-07-26T18:30:00Z,2018-07-26T18:30:00Z,-33.8607,151.205,4.6,-,NA,NA,-,NA,1.9,NA,NA,8.7,4.5,1017,1017,1016.9,-,0,75,-,-,NA,NA,-,-,WNW,15,8
15,94768,Sydney - Observatory Hill,IDN60801,27/04:00am,2018-07-26T18:00:00Z,2018-07-26T18:00:00Z,-33.8607,151.205,4.7,-,NA,NA,-,NA,1.9,NA,NA,8.8,4.4,1017.2,1017.2,1017.1,-,0,74,-,-,NA,NA,-,-,WNW,15,8
16,94768,Sydney - Observatory Hill,IDN60801,27/03:30am,2018-07-26T17:30:00Z,2018-07-26T17:30:00Z,-33.8607,151.205,5.7,-,NA,NA,-,NA,1.7,NA,NA,9.2,5.4,1017.4,1017.4,1017.3,-,0,77,-,-,NA,NA,-,-,WNW,13,7
17,94768,Sydney - Observatory Hill,IDN60801,27/03:00am,2018-07-26T17:00:00Z,2018-07-26T17:00:00Z,-33.8607,151.205,5.6,-,NA,NA,-,NA,1.7,NA,NA,9.1,5.3,1017.7,1017.7,1017.6,-,0,77,-,-,NA,NA,-,-,WNW,13,7
18,94768,Sydney - Observatory Hill,IDN60801,27/02:30am,2018-07-26T16:30:00Z,2018-07-26T16:30:00Z,-33.8607,151.205,5,-,NA,NA,-,NA,1.7,NA,NA,9.6,5.8,1017.9,1017.9,1017.8,-,0,77,-,-,NA,NA,-,-,W,19,10
19,94768,Sydney - Observatory Hill,IDN60801,27/02:00am,2018-07-26T16:00:00Z,2018-07-26T16:00:00Z,-33.8607,151.205,6,-,NA,NA,-,NA,1.5,NA,NA,9.4,6.1,1018,1018,1017.9,-,0,80,-,-,NA,NA,-,-,W,13,7
20,94768,Sydney - Observatory Hill,IDN60801,27/01:30am,2018-07-26T15:30:00Z,2018-07-26T15:30:00Z,-33.8607,151.205,6.5,-,NA,NA,-,NA,1.6,NA,NA,9.8,6.3,1018.1,1018.1,1018,-,0,79,-,-,NA,NA,-,-,W,13,7
21,94768,Sydney - Observatory Hill,IDN60801,27/01:00am,2018-07-26T15:00:00Z,2018-07-26T15:00:00Z,-33.8607,151.205,6.8,-,NA,NA,-,NA,1.8,NA,NA,10.1,6.3,1017.8,1017.8,1017.7,-,0,77,-,-,NA,NA,-,-,WNW,13,7
22,94768,Sydney - Observatory Hill,IDN60801,27/12:30am,2018-07-26T14:30:00Z,2018-07-26T14:30:00Z,-33.8607,151.205,7.9,-,NA,NA,-,NA,1.9,NA,NA,10.4,6.4,1018.1,1018.1,1018,-,0,76,-,-,NA,NA,-,-,WNW,9,5
23,94768,Sydney - Observatory Hill,IDN60801,27/12:00am,2018-07-26T14:00:00Z,2018-07-26T14:00:00Z,-33.8607,151.205,7.7,-,NA,NA,-,NA,2,NA,NA,10.6,6.4,1018.5,1018.5,1018.4,-,0,75,-,-,NA,NA,-,-,W,11,6
24,94768,Sydney - Observatory Hill,IDN60801,26/11:30pm,2018-07-26T13:30:00Z,2018-07-26T13:30:00Z,-33.8607,151.205,7.8,-,NA,NA,-,NA,2.3,NA,NA,10.8,5.8,1018.6,1018.6,1018.5,-,0,71,-,-,NA,NA,-,-,WNW,11,6
25,94768,Sydney - Observatory Hill,IDN60801,26/11:00pm,2018-07-26T13:00:00Z,2018-07-26T13:00:00Z,-33.8607,151.205,7.7,-,NA,NA,-,NA,2.5,NA,NA,11.1,5.8,1018.7,1018.7,1018.6,-,0,70,-,-,NA,NA,-,-,W,13,7
26,94768,Sydney - Observatory Hill,IDN60801,26/10:30pm,2018-07-26T12:30:00Z,2018-07-26T12:30:00Z,-33.8607,151.205,8.6,-,NA,NA,-,NA,2.4,NA,NA,11.2,6.1,1018.8,1018.8,1018.7,-,0,71,-,-,NA,NA,-,-,WNW,9,5
27,94768,Sydney - Observatory Hill,IDN60801,26/10:00pm,2018-07-26T12:00:00Z,2018-07-26T12:00:00Z,-33.8607,151.205,9.5,-,NA,NA,-,NA,2.6,NA,NA,11.7,6.2,1018.8,1018.8,1018.7,-,0,69,-,-,NA,NA,-,-,WNW,7,4
28,94768,Sydney - Observatory Hill,IDN60801,26/09:30pm,2018-07-26T11:30:00Z,2018-07-26T11:30:00Z,-33.8607,151.205,10.3,-,NA,NA,-,NA,2.6,NA,NA,12.2,6.7,1018.8,1018.8,1018.7,-,0,69,-,-,NA,NA,-,-,WNW,6,3
29,94768,Sydney - Observatory Hill,IDN60801,26/09:00pm,2018-07-26T11:00:00Z,2018-07-26T11:00:00Z,-33.8607,151.205,10.8,-,NA,NA,-,NA,2.7,NA,NA,12.6,7.1,1018.6,1018.6,1018.5,-,0,69,-,-,NA,NA,-,-,WNW,6,3
30,94768,Sydney - Observatory Hill,IDN60801,26/08:30pm,2018-07-26T10:30:00Z,2018-07-26T10:30:00Z,-33.8607,151.205,11.4,-,NA,NA,-,NA,3.1,NA,NA,13.3,6.9,1018.5,1018.5,1018.4,-,0,65,-,-,NA,NA,-,-,WNW,6,3
31,94768,Sydney - Observatory Hill,IDN60801,26/08:00pm,2018-07-26T10:00:00Z,2018-07-26T10:00:00Z,-33.8607,151.205,13.1,-,NA,NA,-,NA,3.4,NA,NA,14.1,7.2,1018.2,1018.2,1018.1,-,0,63,-,-,NA,NA,-,-,NW,2,1
32,94768,Sydney - Observatory Hill,IDN60801,26/07:30pm,2018-07-26T09:30:00Z,2018-07-26T09:30:00Z,-33.8607,151.205,13.9,-,NA,NA,-,NA,4,NA,NA,15,6.8,1017.9,1017.9,1017.8,-,0,58,-,-,NA,NA,-,-,W,2,1
33,94768,Sydney - Observatory Hill,IDN60801,26/07:00pm,2018-07-26T09:00:00Z,2018-07-26T09:00:00Z,-33.8607,151.205,13.5,-,NA,NA,-,NA,4.5,NA,NA,15.5,6.2,1017.5,1017.5,1017.4,-,0,54,-,-,NA,NA,-,-,N,6,3
34,94768,Sydney - Observatory Hill,IDN60801,26/06:30pm,2018-07-26T08:30:00Z,2018-07-26T08:30:00Z,-33.8607,151.205,14,-,NA,NA,-,NA,4.7,NA,NA,15.7,5.9,1017.1,1017.1,1017,-,0,52,-,-,NA,NA,-,-,E,4,2
35,94768,Sydney - Observatory Hill,IDN60801,26/06:00pm,2018-07-26T08:00:00Z,2018-07-26T08:00:00Z,-33.8607,151.205,13.1,-,NA,NA,-,NA,5.1,NA,NA,15.9,5.2,1016.8,1016.8,1016.7,-,0,49,-,-,NA,NA,-,-,SE,9,5
36,94768,Sydney - Observatory Hill,IDN60801,26/05:30pm,2018-07-26T07:30:00Z,2018-07-26T07:30:00Z,-33.8607,151.205,13.6,-,NA,NA,-,NA,5.1,NA,NA,16,5.3,1016.5,1016.5,1016.4,-,0,49,-,-,NA,NA,-,-,SE,7,4
37,94768,Sydney - Observatory Hill,IDN60801,26/05:00pm,2018-07-26T07:00:00Z,2018-07-26T07:00:00Z,-33.8607,151.205,13.1,-,NA,NA,-,NA,5.3,NA,NA,16,4.7,1016.2,1016.2,1016.1,-,0,47,-,-,NA,NA,-,-,ESE,9,5
38,94768,Sydney - Observatory Hill,IDN60801,26/04:30pm,2018-07-26T06:30:00Z,2018-07-26T06:30:00Z,-33.8607,151.205,12.1,-,NA,NA,-,NA,5.6,NA,NA,16.2,4.3,1015.8,1015.8,1015.7,-,0,45,-,-,NA,NA,-,-,ESE,15,8
39,94768,Sydney - Observatory Hill,IDN60801,26/04:00pm,2018-07-26T06:00:00Z,2018-07-26T06:00:00Z,-33.8607,151.205,12.1,-,NA,NA,-,NA,6,NA,NA,16.7,3.7,1015.9,1015.9,1015.8,-,0,42,-,-,NA,NA,-,-,ESE,17,9
40,94768,Sydney - Observatory Hill,IDN60801,26/03:30pm,2018-07-26T05:30:00Z,2018-07-26T05:30:00Z,-33.8607,151.205,13.9,-,NA,NA,-,NA,6.9,NA,NA,18.2,3.3,1016,1016,1015.9,-,0,37,-,-,NA,NA,-,-,ESE,15,8
41,94768,Sydney - Observatory Hill,IDN60801,26/03:00pm,2018-07-26T05:00:00Z,2018-07-26T05:00:00Z,-33.8607,151.205,12.9,-,NA,NA,-,NA,6.7,NA,NA,17.6,3.1,1016.1,1016.1,1016,-,0,38,-,-,NA,NA,-,-,ESE,17,9
42,94768,Sydney - Observatory Hill,IDN60801,26/02:30pm,2018-07-26T04:30:00Z,2018-07-26T04:30:00Z,-33.8607,151.205,13.5,-,NA,NA,-,NA,6.7,NA,NA,17.8,3.3,1016.3,1016.3,1016.2,-,0,38,-,-,NA,NA,-,-,ESE,15,8
43,94768,Sydney - Observatory Hill,IDN60801,26/02:00pm,2018-07-26T04:00:00Z,2018-07-26T04:00:00Z,-33.8607,151.205,14,-,NA,NA,-,NA,7.5,NA,NA,18.8,2.6,1016.3,1016.3,1016.2,-,0,34,-,-,NA,NA,-,-,ESE,17,9
44,94768,Sydney - Observatory Hill,IDN60801,26/01:30pm,2018-07-26T03:30:00Z,2018-07-26T03:30:00Z,-33.8607,151.205,17.2,-,NA,NA,-,NA,8.5,NA,NA,20.1,1.5,1016.2,1016.2,1016.1,-,0,29,-,-,NA,NA,-,-,NW,6,3
45,94768,Sydney - Observatory Hill,IDN60801,26/01:00pm,2018-07-26T03:00:00Z,2018-07-26T03:00:00Z,-33.8607,151.205,15.3,-,NA,NA,-,NA,7.8,NA,NA,19.1,2,1016.9,1016.9,1016.8,-,0,32,-,-,NA,NA,-,-,WNW,11,6
46,94768,Sydney - Observatory Hill,IDN60801,26/12:30pm,2018-07-26T02:30:00Z,2018-07-26T02:30:00Z,-33.8607,151.205,14.5,-,NA,NA,-,NA,7.4,NA,NA,18.6,2.4,1017.3,1017.3,1017.2,-,0,34,-,-,NA,NA,-,-,WSW,13,7
47,94768,Sydney - Observatory Hill,IDN60801,26/12:00pm,2018-07-26T02:00:00Z,2018-07-26T02:00:00Z,-33.8607,151.205,12.2,-,NA,NA,-,NA,6.8,NA,NA,17.1,1.9,1017.9,1017.9,1017.8,-,0,36,-,-,NA,NA,-,-,W,17,9
48,94768,Sydney - Observatory Hill,IDN60801,26/11:30am,2018-07-26T01:30:00Z,2018-07-26T01:30:00Z,-33.8607,151.205,12.7,-,NA,NA,-,NA,6.5,NA,NA,16.5,1.8,1018.4,1018.4,1018.3,-,0,37,-,-,NA,NA,-,-,WNW,11,6
49,94768,Sydney - Observatory Hill,IDN60801,26/11:00am,2018-07-26T01:00:00Z,2018-07-26T01:00:00Z,-33.8607,151.205,11.7,-,NA,NA,-,NA,5.2,NA,NA,15.4,4.2,1018.8,1018.8,1018.7,-,0,47,-,-,NA,NA,-,-,WNW,13,7
50,94768,Sydney - Observatory Hill,IDN60801,26/10:30am,2018-07-26T00:30:00Z,2018-07-26T00:30:00Z,-33.8607,151.205,10.1,-,NA,NA,-,NA,4.5,NA,NA,14.5,4.8,1019.4,1019.4,1019.3,-,0,52,-,-,NA,NA,-,-,WNW,17,9
51,94768,Sydney - Observatory Hill,IDN60801,26/10:00am,2018-07-26T00:00:00Z,2018-07-26T00:00:00Z,-33.8607,151.205,10.1,-,NA,NA,-,NA,4.1,NA,NA,13.7,4.8,1019.8,1019.8,1019.8,-,0,55,-,-,NA,NA,-,-,WNW,13,7
52,94768,Sydney - Observatory Hill,IDN60801,26/09:30am,2018-07-25T23:30:00Z,2018-07-25T23:30:00Z,-33.8607,151.205,9.2,-,NA,NA,-,NA,3.6,NA,NA,12.8,5,1019.8,1019.8,1019.8,-,0,59,-,-,NA,NA,-,-,WNW,13,7
53,94768,Sydney - Observatory Hill,IDN60801,26/09:00am,2018-07-25T23:00:00Z,2018-07-25T23:00:00Z,-33.8607,151.205,8,-,NA,NA,-,NA,3.3,NA,NA,11.7,4.4,1019.7,1019.7,1019.6,-,0,61,-,-,NA,NA,-,-,W,13,7
54,94768,Sydney - Observatory Hill,IDN60801,26/08:30am,2018-07-25T22:30:00Z,2018-07-25T22:30:00Z,-33.8607,151.205,6.2,-,NA,NA,-,NA,3.1,NA,NA,10.8,3.8,1019.6,1019.6,1019.5,-,0,62,-,-,NA,NA,-,-,W,17,9
55,94768,Sydney - Observatory Hill,IDN60801,26/08:00am,2018-07-25T22:00:00Z,2018-07-25T22:00:00Z,-33.8607,151.205,5.7,-,NA,NA,-,NA,2.6,NA,NA,10.2,4.4,1019.7,1019.7,1019.6,-,0,67,-,-,NA,NA,-,-,WNW,17,9
56,94768,Sydney - Observatory Hill,IDN60801,26/07:30am,2018-07-25T21:30:00Z,2018-07-25T21:30:00Z,-33.8607,151.205,6,-,NA,NA,-,NA,2.2,NA,NA,9.6,4.8,1019.4,1019.4,1019.3,-,0,72,-,-,NA,NA,-,-,W,13,7
57,94768,Sydney - Observatory Hill,IDN60801,26/07:00am,2018-07-25T21:00:00Z,2018-07-25T21:00:00Z,-33.8607,151.205,5.2,-,NA,NA,-,NA,2,NA,NA,9.2,4.8,1019.1,1019.1,1019,-,0,74,-,-,NA,NA,-,-,WNW,15,8
