Crash ID,Month,Dayweek,Time,State
20181001,June,Tuesday,18:15:00,NSW
20181005,June,Saturday,15:00:00,NSW
20181009,June,Thursday,19:55:00,NSW
20181012,June,Sunday,20:10:00,NSW
20181014,June,Sunday,07:40:00,NSW
20181035,June,Thursday,06:00:00,NSW
20181041,June,Tuesday,12:45:00,NSW
20181044,June,Sunday,09:36:00,NSW
20181061,June,Sunday,11:30:00,NSW
20181071,June,Wednesday,09:10:00,NSW
20181080,June,Wednesday,12:57:00,NSW
20181101,June,Monday,13:00:00,NSW
20181103,June,Saturday,20:30:00,NSW
20181105,June,Sunday,12:10:00,NSW
20181130,June,Monday,06:30:00,NSW
20181137,June,Wednesday,06:50:00,NSW
20181138,June,Friday,16:05:00,NSW
20181139,June,Wednesday,17:35:00,NSW
20181156,June,Sunday,12:00:00,NSW
20181007,May,Friday,23:10:00,NSW
20181010,May,Tuesday,10:50:00,NSW
20181018,May,Saturday,10:40:00,NSW
20181026,May,Sunday,23:20:00,NSW
20181031,May,Tuesday,10:20:00,NSW
20181033,May,Monday,07:55:00,NSW
20181049,May,Tuesday,07:50:00,NSW
20181055,May,Friday,19:20:00,NSW
20181060,May,Sunday,08:53:00,NSW
20181064,May,Wednesday,23:20:00,NSW
20181067,May,Thursday,10:30:00,NSW
20181068,May,Sunday,12:50:00,NSW
20181077,May,Friday,07:45:00,NSW
20181077,May,Friday,07:45:00,NSW
20181081,May,Saturday,12:40:00,NSW
20181086,May,Monday,20:35:00,NSW
20181087,May,Thursday,15:18:00,NSW
20181092,May,Friday,21:20:00,NSW
20181095,May,Saturday,02:50:00,NSW
20181096,May,Saturday,10:30:00,NSW
20181121,May,Tuesday,00:01:00,NSW
20181123,May,Monday,09:30:00,NSW
20181145,May,Friday,13:29:00,NSW
20181155,May,Wednesday,18:05:00,NSW
20181157,May,Monday,07:45:00,NSW
20181002,April,Friday,20:30:00,NSW
20181006,April,Friday,10:10:00,NSW
20181011,April,Sunday,18:50:00,NSW
20181011,April,Sunday,18:50:00,NSW
20181015,April,Sunday,11:30:00,NSW
20181016,April,Monday,18:45:00,NSW
20181019,April,Sunday,15:30:00,NSW
20181023,April,Tuesday,07:15:00,NSW
20181036,April,Friday,00:55:00,NSW
20181036,April,Friday,00:55:00,NSW
20181053,April,Wednesday,03:45:00,NSW
20181057,April,Friday,07:39:00,NSW
20181058,April,Monday,09:45:00,NSW
20181065,April,Friday,16:45:00,NSW
20181070,April,Thursday,15:40:00,NSW
20181073,April,Tuesday,05:20:00,NSW
20181075,April,Wednesday,11:20:00,NSW
20181091,April,Sunday,09:40:00,NSW
20181094,April,Sunday,18:00:00,NSW
20181098,April,Saturday,09:05:00,NSW
20181099,April,Sunday,19:00:00,NSW
20181099,April,Sunday,19:00:00,NSW
20181102,April,Saturday,03:10:00,NSW
20181110,April,Sunday,15:30:00,NSW
20181110,April,Sunday,15:30:00,NSW
20181115,April,Wednesday,11:05:00,NSW
20181116,April,Saturday,14:40:00,NSW
20181122,April,Saturday,10:10:00,NSW
20181136,April,Wednesday,09:14:00,NSW
20181140,April,Tuesday,01:30:00,NSW
20181146,April,Tuesday,13:50:00,NSW
20181151,April,Thursday,01:15:00,NSW
20181158,April,Friday,13:40:00,NSW
20181017,March,Monday,20:36:00,NSW
20181020,March,Sunday,01:45:00,NSW
20181028,March,Friday,11:10:00,NSW
20181032,March,Tuesday,22:00:00,NSW
20181040,March,Saturday,02:50:00,NSW
20181042,March,Monday,20:34:00,NSW
20181043,March,Wednesday,23:30:00,NSW
20181072,March,Wednesday,01:00:00,NSW
20181083,March,Friday,08:00:00,NSW
20181088,March,Friday,16:05:00,NSW
20181089,March,Thursday,15:00:00,NSW
20181109,March,Monday,18:25:00,NSW
20181113,March,Friday,16:50:00,NSW
20181118,March,Saturday,10:00:00,NSW
20181124,March,Friday,19:24:00,NSW
20181125,March,Sunday,10:55:00,NSW
20181126,March,Tuesday,07:18:00,NSW
20181127,March,Friday,23:15:00,NSW
20181133,March,Thursday,15:13:00,NSW
20181135,March,Thursday,18:43:00,NSW
20181142,March,Saturday,15:20:00,NSW
20181144,March,Saturday,12:45:00,NSW
20181148,March,Monday,13:43:00,NSW
20181153,March,Saturday,20:00:00,NSW
20181154,March,Friday,18:55:00,NSW
20181003,February,Tuesday,11:55:00,NSW
20181013,February,Saturday,16:20:00,NSW
20181021,February,Friday,11:20:00,NSW
20181021,February,Friday,11:20:00,NSW
20181021,February,Friday,11:20:00,NSW
20181029,February,Monday,12:30:00,NSW
20181039,February,Monday,12:20:00,NSW
20181045,February,Saturday,01:50:00,NSW
20181046,February,Sunday,13:20:00,NSW
20181059,February,Friday,03:40:00,NSW
20181066,February,Sunday,23:45:00,NSW
20181074,February,Friday,19:55:00,NSW
20181076,February,Wednesday,21:15:00,NSW
20181078,February,Sunday,13:50:00,NSW
20181082,February,Tuesday,03:50:00,NSW
20181093,February,Thursday,11:40:00,NSW
20181097,February,Thursday,12:30:00,NSW
20181100,February,Saturday,01:00:00,NSW
20181106,February,Saturday,16:43:00,NSW
20181107,February,Sunday,16:10:00,NSW
